TreeID,qLegalStatus,qSpecies,qAddress,SiteOrder,qSiteInfo,PlantType,qCaretaker,qCareAssistant,PlantDate,DBH,PlotSize,PermitNotes,XCoord,YCoord,Latitude,Longitude,Location,Fire Prevention Districts,Police Districts,Supervisor Districts,Zip Codes,Neighborhoods (old),Analysis Neighborhoods
30659,DPW Maintained,Rhamnus alaternus :: Italian Buckthorn,54 Lafayette St,2,Sidewalk: Curb side : Cutout,Tree,Private,FUF,04/13/2015 12:00:00 AM,3,3x3,Permit Number 34592,6007571,2109565,37.7728912,-122.4172236,"(37.77289119914388, -122.4172236326678)",8,2,9,28853,19,20
242003,DPW Maintained,Schinus molle :: California Pepper,920 Shotwell St,2,Sidewalk: Curb side : Cutout,Tree,DPW,Private,05-08-2017 00:00,3,3x3,Permit Number 779528,6007974.01,2102435.992,37.75333926,-122.4153248,"(37.75333925910258, -122.41532480010417)",2,4,7,28859,19,20
45307,DPW Maintained,Tree(s) ::,561 Baker St,1,Sidewalk: Curb side : Cutout,Tree,Private,FUF,12/25/2005 12:00:00 AM,20,5x5,Permit Number 44145,6000554.52,2110946.497,37.7762872,-122.4415936,"(37.77628720300807, -122.44159355669579)",15,5,11,29492,16,18
177097,DPW Maintained,Ginkgo biloba :: Maidenhair Tree,86 San Gabriel Ave,4,Sidewalk: Curb side : Cutout,Tree,Private,Owner Water,09/21/2020 12:08:00 PM,3,3x3,Permit Number 780184,6000986.952,2093579.836,37.72862717,-122.4388529,"(37.728627166308904, -122.43885285177403)",9,7,6,28861,25,28
2792,Private,Arbutus 'Marina' :: Hybrid Strawberry Tree,451 Cabrillo St,2,Sidewalk: Curb side : Cutout,Tree,Private,DPW,09-01-2022 00:00,3,3X3,Permit Number 794667,5994183.411,2110720.105,37.77530055,-122.4636164,"(37.77530054719305, -122.46361637711296)",11,6,2,54,11,11
64530,DPW Maintained,Eriobotrya deflexa :: Bronze Loquat,1400 Oakdale Ave,1,Sidewalk: Curb side : Cutout,Tree,Private,FUF,10/13/2018 12:00:00 AM,3,20x30,Permit Number 53955,6016100.707,2094719.455,37.73260463,-122.3866827,"(37.73260462571582, -122.38668267828861)",10,3,8,58,1,1
38556,Private,Tree(s) ::,1791 La Salle Ave,4,Sidewalk: Curb side : Cutout,Tree,Private,FUF,10/13/2018 12:00:00 AM,3,4x3,Permit Number 782693,6014562.133,2096849.445,37.73836784,-122.3921509,"(37.73836784209558, -122.39215085288019)",10,3,8,58,1,1
38633,DPW Maintained,Eriobotrya deflexa :: Bronze Loquat,1595 Shafter Ave,1,Sidewalk: Curb side : Cutout,Tree,Private,FUF,10/13/2018 12:00:00 AM,3,3x3,Permit Number 767658,6014946.188,2094119.254,37.73089261,-122.3906322,"(37.73089261002828, -122.39063223649488)",10,3,8,58,1,1
38634,DPW Maintained,Eriobotrya deflexa :: Bronze Loquat,1595 Shafter Ave,4,Sidewalk: Curb side : Cutout,Tree,Private,FUF,10/13/2018 12:00:00 AM,3,4x10,Permit Number 767658,6014976.966,2094092.323,37.73082037,-122.3905239,"(37.73082037043033, -122.39052394889393)",10,3,8,58,1,1
37606,DPW Maintained,Acer buergeranum :: Trident Maple,443 16th Ave,1,Sidewalk: Curb side : Cutout,Tree,DPW,FUF,02/24/2018 12:00:00 AM,3,3x3,Permit Number 778736,5990893.156,2112363.883,37.77962378,-122.475118,"(37.77962377560627, -122.4751180331834)",11,6,2,54,26,29
92436,DPW Maintained,Metrosideros excelsa :: New Zealand Xmas Tree,1643 44th Ave,1,Sidewalk: Curb side : Cutout,Tree,Private,FUF,08/27/2019 12:00:00 AM,3,3x3,Permit Number 52826,5982496.454,2103927.808,37.75597052,-122.5035405,"(37.75597051575189, -122.50354048561786)",1,8,3,56,35,35
38632,DPW Maintained,Eriobotrya deflexa :: Bronze Loquat,1595 Shafter Ave,2,Sidewalk: Curb side : Cutout,Tree,Private,FUF,08/31/2018 12:00:00 AM,3,6x60,Permit Number 767658,6014957.18,2094111.56,37.73087209,-122.3905937,"(37.730872092312204, -122.3905936968742)",10,3,8,58,1,1
36880,DPW Maintained,Laurus nobilis :: Sweet Bay: Grecian Laurel,2515 Fillmore St,4,Sidewalk: Curb side : Cutout,Tree,DPW,FUF,11/23/2016 12:00:00 AM,3,3x3,Permit Number 776215,6002666.111,2116940.621,37.79286563,-122.4347177,"(37.792865630408876, -122.43471771865146)",13,9,1,29490,27,30
94704,DPW Maintained,Geijera parviflora :: Australian Willow,670 12th Ave,1,Sidewalk: Curb side : Cutout,Tree,Private,FUF,10/13/2018 12:00:00 AM,3,3x3,Permit Number 53844,5992265.91,2110887.947,37.77565072,-122.4702616,"(37.77565072383335, -122.47026161858373)",11,6,2,54,11,11
38641,DPW Maintained,Eriobotrya deflexa :: Bronze Loquat,1595 Shafter Ave,3,Sidewalk: Curb side : Cutout,Tree,Private,FUF,10/13/2018 12:00:00 AM,3,4x10,Permit Number 40566,6014964.875,2094103.315,37.73084988,-122.3905665,"(37.730849882277575, -122.39056651930953)",10,3,8,58,1,1
42970,DPW Maintained,Magnolia grandiflora :: Southern Magnolia,1150 Bacon St,2,Sidewalk: Curb side : Cutout,Tree,DPW,FUF,04-10-2018 00:00,3,3x3,Permit Number 780074,6007984.369,2092053.864,37.7248328,-122.4145544,"(37.72483280068323, -122.41455436171378)",9,3,7,309,28,25
39935,DPW Maintained,Corymbia ficifolia :: Red Flowering Gum,601X Rutland St,1,Sidewalk: Curb side : Cutout,Tree,Private,FUF,06-01-2019 00:00,3,3x3,Permit Number 770539,6010138.718,2087941.044,37.71366064,-122.4068173,"(37.71366064249495, -122.40681726931176)",9,7,8,309,39,40
35389,DPW Maintained,Schinus molle :: California Pepper,779 Vermont St,1,Sidewalk: Curb side : Cutout,Tree,Private,FUF,02/23/1998 12:00:00 AM,13,9x3,Permit Number 38843,6011312.836,2104732.123,37.75983101,-122.40394,"(37.759831012618264, -122.4039399531886)",10,3,8,28856,29,26
65439,DPW Maintained,Lophostemon confertus :: Brisbane Box,165 Turk St,2,Sidewalk: Curb side : Cutout,Tree,Private,FUF,09/19/2023 12:00:00 AM,6,3x3,Permit Number 28313,6009235,2113189,37.78293532,-122.4117238,"(37.78293532095652, -122.41172375302799)",14,10,9,28852,36,36
87141,DPW Maintained,Geijera parviflora :: Australian Willow,179 11th St,3,Sidewalk: Curb side : Cutout,Tree,Private,FUF,08/29/2011 12:00:00 AM,12,3x3,Permit Number 767576,6007945.36,2109780.433,37.77350378,-122.4159439,"(37.773503780700715, -122.41594393206748)",8,2,9,28853,34,34
